CTY_CODE,CTY_NAME,GEN_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,MONTH,SUMMARY_LVL,COMM_LVL,I_COMMODITY,YEAR
-,TOTAL FOR ALL COUNTRIES,12916,0,0,0,0,0,0,11,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,17856,0,0,0,0,0,0,12,DET,HS6,030193,2020
-,TOTAL FOR ALL COUNTRIES,1545977,1257643,101892,288334,67138,288334,67138,01,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,5510966,5329932,839566,2767,433,2767,433,01,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,3841304,2393010,236727,0,0,0,0,01,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,3865470,2445646,237409,0,0,0,0,02,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,2656469,1300142,123433,162233,8759,162233,8759,04,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,2952761,1699425,157034,2477,180,2477,180,03,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,3284133,1967602,185960,0,0,0,0,05,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,4928164,1849724,182732,240074,251588,0,0,07,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,3681661,1992143,194301,0,0,0,0,06,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,5932281,2188493,209891,498206,510600,0,0,08,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,5382829,2506450,232244,119195,15268,0,0,09,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,4402148,2818456,266757,9193,1689,0,0,10,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,3202543,2216246,211978,0,0,0,0,11,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,4040397,2586051,266485,0,0,0,0,12,DET,HS6,030213,2020
-,TOTAL FOR ALL COUNTRIES,1110139,885409,70741,224730,30006,224730,30006,02,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,653809,513977,40061,139832,25822,139832,25822,03,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,474564,450717,27092,23847,1848,23847,1848,04,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,820232,697619,38101,92613,5775,92613,5775,05,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1137553,953573,57424,183980,9922,183980,9922,06,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1195655,1049820,62287,145835,7909,145835,7909,07,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1218271,1072981,69880,145290,8041,145290,8041,08,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1291963,1190321,76757,71642,3938,71642,3938,09,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1207935,976399,62403,181536,9779,181536,9779,10,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1037563,919519,53326,118044,6028,118044,6028,11,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,1679832,1392799,82574,272582,13116,272582,13116,12,DET,HS6,030199,2020
-,TOTAL FOR ALL COUNTRIES,4571824,4351915,708179,3857,223,3857,223,02,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,5929533,5552306,810433,0,0,0,0,03,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4575149,3967769,568006,81550,10650,0,0,04,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,5907037,5451732,820118,0,0,0,0,05,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4668599,4345825,664178,0,0,0,0,06,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4147972,3892161,618859,0,0,0,0,07,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4711241,4400185,706077,6996,1133,6996,1133,08,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4650195,4247690,686381,0,0,0,0,09,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,5231669,4846278,769872,0,0,0,0,10,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,4748177,4420191,707027,12367,2244,12367,2244,11,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,3938548,3590036,570722,87282,11400,6432,750,12,DET,HS6,030211,2020
-,TOTAL FOR ALL COUNTRIES,102680779,60931608,7035227,0,0,0,0,01,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,79165409,45678512,6520910,0,0,0,0,02,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,71418135,34503224,4800882,0,0,0,0,03,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,60087658,17876406,2753865,148140,25853,148140,25853,04,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,70152474,23955339,3634036,648307,106515,648307,106515,05,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,76683603,27496545,3991501,365581,47791,365581,47791,06,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,71135917,24245289,3601099,828188,120950,828188,120950,07,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,68406082,27360345,4467240,498208,84564,498208,84564,08,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,71272373,29445241,4641683,494986,80684,494986,80684,09,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,70580072,33309786,5698887,1363974,217388,1363974,217388,10,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,61562282,31020794,5450271,1060752,166862,1060752,166862,11,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,65188113,26356568,4276183,1196790,203588,1196790,203588,12,DET,HS6,030214,2020
-,TOTAL FOR ALL COUNTRIES,360796,360796,41458,0,0,0,0,01,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,334463,332082,35970,0,0,0,0,02,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,265017,258423,30118,6594,1173,6594,1173,03,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,166967,166967,18704,0,0,0,0,04,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,213720,213720,23091,0,0,0,0,05,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,184007,184007,20253,0,0,0,0,06,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,124840,124840,14274,0,0,0,0,07,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,156009,156009,17711,0,0,0,0,08,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,198450,198450,21992,0,0,0,0,09,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,277883,273187,31899,0,0,0,0,10,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,254032,254032,28870,0,0,0,0,11,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,397038,268457,32877,128581,34394,128581,34394,12,DET,HS6,030219,2020
-,TOTAL FOR ALL COUNTRIES,6275111,1453200,114462,0,0,0,0,01,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,7273799,1132000,98642,0,0,0,0,02,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,5968914,444022,39873,0,0,0,0,03,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,5792506,67599,6375,0,0,0,0,04,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,7232546,91283,9253,0,0,0,0,05,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,11115143,25578,1641,0,0,0,0,06,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,12068079,37169,2337,337105,32697,0,0,07,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,14102858,85016,6830,478524,49018,0,0,08,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,10155829,191554,15574,68307,6702,0,0,09,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,9022161,520136,47565,0,0,0,0,10,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,6094033,1121362,101132,0,0,0,0,11,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,3749922,2349819,206202,0,0,0,0,12,DET,HS6,030221,2020
-,TOTAL FOR ALL COUNTRIES,50889,50889,3435,0,0,0,0,01,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,17524,17524,1402,0,0,0,0,02,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,36224,36224,2334,0,0,0,0,03,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,4563,4563,262,0,0,0,0,04,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,15043,15043,1242,0,0,0,0,05,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,06,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,07,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,08,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,3040,3040,238,0,0,0,0,09,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,10,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,11,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,383704,374704,21160,0,0,0,0,01,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,12,DET,HS6,030222,2020
-,TOTAL FOR ALL COUNTRIES,377917,377917,20691,0,0,0,0,02,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,275067,239407,13898,0,0,0,0,03,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,04,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,4337,4337,394,0,0,0,0,05,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,86481,86481,5020,0,0,0,0,06,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,69821,66830,6382,0,0,0,0,07,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,103725,100333,6518,0,0,0,0,08,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,153220,153220,10058,0,0,0,0,09,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,150152,150152,11381,0,0,0,0,11,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,170422,170422,12253,0,0,0,0,10,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,190701,190701,13260,0,0,0,0,12,DET,HS6,030223,2020
-,TOTAL FOR ALL COUNTRIES,300690,74615,7267,226075,11267,226075,11267,01,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,122573,122573,11397,0,0,0,0,02,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,49261,49261,4886,0,0,0,0,03,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,04,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,6264,3520,391,2744,433,2744,433,05,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,5766,2068,269,3698,182,3698,182,06,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,2925,2925,421,0,0,0,0,07,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,4162,4162,388,0,0,0,0,08,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,23228,23228,2711,0,0,0,0,09,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,23206,23206,2539,0,0,0,0,10,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,17512,17512,2345,0,0,0,0,11,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,59078,59078,6446,0,0,0,0,12,DET,HS6,030224,2020
-,TOTAL FOR ALL COUNTRIES,447601,241933,18752,0,0,0,0,01,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,437691,215966,18950,0,0,0,0,02,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,272642,122206,10152,0,0,0,0,03,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,158522,33250,2156,0,0,0,0,04,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,186013,95410,5814,0,0,0,0,05,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,328805,140290,12353,4334,598,4334,598,06,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,296409,114268,7858,0,0,0,0,07,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,254375,132148,7521,0,0,0,0,08,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,253171,155908,9181,0,0,0,0,09,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,251038,178041,11279,0,0,0,0,10,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,241733,164602,7789,0,0,0,0,11,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,642146,436914,38849,2464,60,2464,60,12,DET,HS6,030229,2020
-,TOTAL FOR ALL COUNTRIES,248901,240046,49081,0,0,0,0,01,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,195755,193690,35579,0,0,0,0,02,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,134683,134683,25691,0,0,0,0,03,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,23070,23070,4447,0,0,0,0,04,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,114336,114336,20856,0,0,0,0,05,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,130306,126275,20697,0,0,0,0,07,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,75632,75632,12995,0,0,0,0,06,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,111191,111191,19180,0,0,0,0,08,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,129541,126826,20930,0,0,0,0,09,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,93488,93488,17285,0,0,0,0,10,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,77915,77915,18967,0,0,0,0,11,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,60067,60067,13443,0,0,0,0,12,DET,HS6,030231,2020
-,TOTAL FOR ALL COUNTRIES,13749647,13590233,1416386,0,0,0,0,01,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,12462221,12010999,1386713,0,0,0,0,02,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,8172508,7780706,880673,0,0,0,0,03,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,4963097,4706270,538237,57250,5949,57250,5949,04,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,7691417,7292459,934587,0,0,0,0,05,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,11720057,11281055,1405680,0,0,0,0,06,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,11755681,10759470,1347668,0,0,0,0,07,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,11934813,11030015,1213307,0,0,0,0,08,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,11807469,11193737,1268469,0,0,0,0,09,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,10145261,9903428,1120165,0,0,0,0,10,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,8158748,7600355,869511,0,0,0,0,11,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,10008528,9292442,1082918,0,0,0,0,12,DET,HS6,030232,2020
-,TOTAL FOR ALL COUNTRIES,10912,10912,1063,0,0,0,0,09,DET,HS6,030233,2020
-,TOTAL FOR ALL COUNTRIES,11467,11467,1262,0,0,0,0,10,DET,HS6,030233,2020
-,TOTAL FOR ALL COUNTRIES,2267,2267,185,0,0,0,0,11,DET,HS6,030233,2020
-,TOTAL FOR ALL COUNTRIES,0,0,0,0,0,0,0,12,DET,HS6,030233,2020
-,TOTAL FOR ALL COUNTRIES,2249303,2249303,269939,0,0,0,0,01,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,4683118,3094352,174115,0,0,0,0,01,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,3861687,2518245,149631,0,0,0,0,02,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,671552,25547,2222,0,0,0,0,04,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,2518342,1527821,89048,0,0,0,0,03,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,1666122,323041,18296,0,0,0,0,05,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,2613666,659324,36875,0,0,0,0,06,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,2510974,825308,45076,0,0,0,0,07,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,3086408,826911,44531,0,0,0,0,08,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,2986249,872193,47332,0,0,0,0,09,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,3376710,1023288,55141,0,0,0,0,10,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,3503823,1086817,59373,0,0,0,0,11,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,3338619,1095584,56010,0,0,0,0,12,DET,HS6,030235,2020
-,TOTAL FOR ALL COUNTRIES,2600935,2600935,340350,0,0,0,0,02,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,901691,870963,104267,0,0,0,0,03,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,475061,475061,62351,0,0,0,0,04,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,970570,970570,109425,0,0,0,0,05,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1757162,1414660,144000,0,0,0,0,06,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1674727,1280956,133612,0,0,0,0,07,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1929356,1772176,170289,0,0,0,0,08,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,2235970,2002626,215083,0,0,0,0,09,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1789280,1781847,197510,0,0,0,0,10,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1745468,1745468,207221,0,0,0,0,11,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,1464638,1464638,172847,0,0,0,0,12,DET,HS6,030234,2020
-,TOTAL FOR ALL COUNTRIES,7369,7369,1165,0,0,0,0,03,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,48215,48215,7665,0,0,0,0,04,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,49847,49847,4361,0,0,0,0,05,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,119400,119400,13178,0,0,0,0,06,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,420366,420366,43317,0,0,0,0,07,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,496032,496032,46198,0,0,0,0,08,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,248766,248766,21243,0,0,0,0,09,DET,HS6,030236,2020
-,TOTAL FOR ALL COUNTRIES,68446,68446,5666,0,0,0,0,10,DET,HS6,030236,2020
